contract_preamble,date,expiry_date,strike,yes_price,volume,open_interest,adjusted_yes_price,probability,swapped
FED-22DEC,2022-06-20,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-06-23,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-06-24,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-06-25,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-06-26,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-06-27,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-06-28,2022-12-17,0,0,NA,NA,99,0,FALSE
FED-22DEC,2022-06-29,2022-12-17,0,0,NA,NA,99,0,FALSE
FED-22DEC,2022-06-30,2022-12-17,0,0,NA,NA,99,0,FALSE
FED-22DEC,2022-07-01,2022-12-17,0,0,NA,NA,99,0,FALSE
FED-22DEC,2022-07-02,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-03,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-04,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-05,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-06,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-07,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-08,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-09,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-10,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-11,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-12,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-13,2022-12-17,0,0,NA,NA,97.5,0,FALSE
FED-22DEC,2022-07-14,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-15,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-16,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-17,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-18,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-19,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-20,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-21,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-22,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-23,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-24,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-25,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-26,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-27,2022-12-17,0,0,NA,NA,98,0,FALSE
FED-22DEC,2022-07-28,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-07-29,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-07-30,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-07-31,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-08-01,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-08-02,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-08-03,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-08-04,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-08-05,2022-12-17,0,0,NA,NA,98.5,0,FALSE
FED-22DEC,2022-08-06,2022-12-17,0,0,NA,NA,99,0,FALSE
FED-22DEC,2022-08-07,2022-12-17,0,0,NA,NA,99,0,FALSE
FED-22DEC,2022-08-08,2022-12-17,0,0,NA,NA,99,0,FALSE
FED-22DEC,2022-08-09,2022-12-17,0,0,NA,NA,99,0,FALSE
FED-22DEC,2022-08-10,2022-12-17,0,0,NA,NA,99,0,FALSE
