date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance
2022-01-01,FED-22JAN,2022-01-27,0.007653061224489796,0,0,1,27.087350526315802,0.0018546959600166592
2022-01-01,FED-22JUN,2022-06-16,0.3405612244897959,0.25,0.5,0.6513761467889906,-0.7338996944786844,0.026556317680133282
2022-01-01,FED-22MAR,2022-03-17,0.1326530612244898,0.25,0.25,-0.9999999999999999,-2.005149331103679,0.01556643065389421
2022-01-01,FED-22MAY,2022-05-05,0.20663265306122447,0.25,0.25,-1.0000000000000004,0.8954882352941178,0.008961109954185755
2022-01-02,FED-22JAN,2022-01-27,0.007653061224489796,0,0,1,27.087350526315802,0.0018546959600166592
2022-01-02,FED-22JUN,2022-06-16,0.3405612244897959,0.25,0.5,0.6513761467889906,-0.7338996944786844,0.026556317680133282
2022-01-02,FED-22MAR,2022-03-17,0.1326530612244898,0.25,0.25,-0.9999999999999999,-2.005149331103679,0.01556643065389421
2022-01-02,FED-22MAY,2022-05-05,0.20663265306122447,0.25,0.25,-1.0000000000000004,0.8954882352941178,0.008961109954185755
2022-01-03,FED-22JAN,2022-01-27,0.007653061224489796,0,0,1,27.087350526315802,0.0018546959600166592
2022-01-03,FED-22JUN,2022-06-16,0.3405612244897959,0.25,0.5,0.6513761467889906,-0.7338996944786844,0.026556317680133282
2022-01-03,FED-22MAR,2022-03-17,0.13520408163265307,0.25,0.25,-1,-1.9935996226415096,0.015520876718034154
2022-01-03,FED-22MAY,2022-05-05,0.20535714285714285,0.25,0.25,-1.0000000000000002,0.7414252173913041,0.009167729591836734
2022-01-04,FED-22JAN,2022-01-27,0.006377551020408163,0,0,1,33.48537706806283,0.0015537145980841316
2022-01-04,FED-22JUN,2022-06-16,0.3341836734693878,0.25,0.25,0.6346153846153847,-0.7508030508564083,0.026076374427321948
2022-01-04,FED-22MAR,2022-03-17,0.13392857142857142,0.25,0.25,-1,-1.9997953846153846,0.015545280612244899
2022-01-04,FED-22MAY,2022-05-05,0.21301020408163265,0.25,0.25,-1,1.8341211439190594,0.00787920397750937
2022-01-05,FED-22JAN,2022-01-27,0.005102040816326531,0,0,1,43.08511875000001,0.0012494793835901706
