date,contract_preamble,strike,yes_price,daily_volume,expiry_date,adjusted_yes_price,probability
2021-11-16,FED-21DEC,0,NA,NA,2021-12-04,NA,94.89795918367346
2021-11-17,FED-21DEC,0,NA,NA,2021-12-04,NA,94.89795918367346
2021-11-18,FED-21DEC,0,NA,NA,2021-12-04,NA,97.95918367346938
2021-11-19,FED-21DEC,0,NA,NA,2021-12-04,NA,97.95918367346938
2021-11-20,FED-21DEC,0,NA,NA,2021-12-04,NA,97.95918367346938
2021-11-21,FED-21DEC,0,NA,NA,2021-12-04,NA,97.95918367346938
2021-11-22,FED-21DEC,0,NA,NA,2021-12-04,NA,97.95918367346938
2021-11-23,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-11-24,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-11-25,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-11-26,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-11-27,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-11-28,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-11-29,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-11-30,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-12-01,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-12-02,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-12-03,FED-21DEC,0,NA,NA,2021-12-04,NA,98.9795918367347
2021-12-04,FED-21DEC,0,NA,NA,2021-12-04,NA,97.95918367346938
2021-07-02,FED-21JUL,0,NA,NA,2021-07-26,NA,93.87755102040816
2021-07-03,FED-21JUL,0,NA,NA,2021-07-26,NA,93.87755102040816
2021-07-04,FED-21JUL,0,NA,NA,2021-07-26,NA,93.87755102040816
2021-07-05,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-06,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-07,FED-21JUL,0,NA,NA,2021-07-26,NA,96.93877551020408
2021-07-08,FED-21JUL,0,NA,NA,2021-07-26,NA,96.93877551020408
2021-07-09,FED-21JUL,0,NA,NA,2021-07-26,NA,96.93877551020408
2021-07-10,FED-21JUL,0,NA,NA,2021-07-26,NA,94.89795918367346
2021-07-11,FED-21JUL,0,NA,NA,2021-07-26,NA,94.89795918367346
2021-07-12,FED-21JUL,0,NA,NA,2021-07-26,NA,94.89795918367346
2021-07-13,FED-21JUL,0,NA,NA,2021-07-26,NA,94.89795918367346
2021-07-14,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-15,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-16,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-17,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-18,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-19,FED-21JUL,0,NA,NA,2021-07-26,NA,100
2021-07-20,FED-21JUL,0,NA,NA,2021-07-26,NA,97.95918367346938
2021-07-21,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-22,FED-21JUL,0,NA,NA,2021-07-26,NA,98.9795918367347
2021-07-23,FED-21JUL,0,NA,NA,2021-07-26,NA,100
2021-07-24,FED-21JUL,0,NA,NA,2021-07-26,NA,100
2021-07-25,FED-21JUL,0,NA,NA,2021-07-26,NA,100
2021-07-26,FED-21JUL,0,NA,NA,2021-07-26,NA,100
2021-07-30,FED-21SEP,0,NA,NA,2021-09-13,NA,97.95918367346938
2021-07-31,FED-21SEP,0,NA,NA,2021-09-13,NA,97.95918367346938
2021-08-01,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-02,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-03,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-04,FED-21SEP,0,NA,NA,2021-09-13,NA,96.93877551020408
2021-08-05,FED-21SEP,0,NA,NA,2021-09-13,NA,96.93877551020408
2021-08-06,FED-21SEP,0,NA,NA,2021-09-13,NA,97.95918367346938
2021-08-07,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-08,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-09,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-10,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-11,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-12,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-13,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-14,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-15,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-16,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-17,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-18,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-19,FED-21SEP,0,NA,NA,2021-09-13,NA,100
2021-08-20,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-21,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-22,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-23,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-24,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-25,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-26,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-27,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-28,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-29,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-30,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-08-31,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-01,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-02,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-03,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-04,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-05,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-06,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-07,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-08,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-09,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-10,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-11,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-12,FED-21SEP,0,NA,NA,2021-09-13,NA,98.9795918367347
2021-09-13,FED-21SEP,0,NA,NA,2021-09-13,NA,100
2022-06-17,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-18,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-19,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-20,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-21,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-22,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-23,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-24,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-25,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-26,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-27,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-28,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-29,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-06-30,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-01,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-02,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-03,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-04,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-05,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-06,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-07,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-08,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-09,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-10,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-11,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-12,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-13,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-14,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-15,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-16,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-17,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-18,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-19,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-20,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-21,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-22,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-23,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-24,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-25,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-26,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-27,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-28,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-29,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-30,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-07-31,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-01,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-02,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-03,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-04,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-05,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-06,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-07,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-08,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-09,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-10,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-11,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-12,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-13,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-14,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-15,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-16,FED-22DEC,0,NA,NA,2022-12-14,NA,0
2022-08-17,FED-22DEC,0,NA,NA,2022-12-14,NA,0
