horizon_date.y,contract_preamble,realized_cpi,survey_median
12/13/22,CPIYOY-22NOV,7.1,7.3
1/12/23,CPIYOY-22DEC,6.5,6.5
2/14/23,CPIYOY-23JAN,6.4,6.2
3/14/23,CPIYOY-23FEB,6,6
4/12/23,CPIYOY-23MAR,5,5.1
5/10/23,CPIYOY-23APR,4.9,5
6/13/23,CPIYOY-23MAY,4,4.1
7/12/23,CPIYOY-23JUN,3,3.1
8/10/23,CPIYOY-23JUL,3.2,3.3
9/13/23,CPIYOY-23AUG,3.7,3.6
10/12/23,CPIYOY-23SEP,3.7,3.6
11/14/23,CPIYOY-23OCT,3.2,3.3
12/12/23,CPIYOY-23NOV,3.1,3.1
1/11/24,CPIYOY-23DEC,3.4,3.2
2/13/24,CPIYOY-24JAN,3.1,2.9
3/12/24,CPIYOY-24FEB,3.2,3.1
4/10/24,CPIYOY-24MAR,3.5,3.4
5/15/24,CPIYOY-24APR,3.4,3.4
6/12/24,CPIYOY-24MAY,3.3,3.4
7/11/24,CPIYOY-24JUN,3,3.1
8/14/24,CPIYOY-24JUL,2.9,3
9/11/24,CPIYOY-24AUG,2.5,2.5
10/10/24,CPIYOY-24SEP,2.4,2.3
11/13/24,CPIYOY-24OCT,2.6,2.6
12/11/24,KXCPIYOY-24NOV,2.7,2.7
1/15/25,KXCPIYOY-24DEC,2.9,2.9
2/12/25,KXCPIYOY-25JAN,3,2.9
3/12/25,KXCPIYOY-25FEB,2.8,2.9
4/10/25,KXCPIYOY-25MAR,2.4,2.5
5/13/25,KXCPIYOY-25APR,2.3,2.4
6/11/25,KXCPIYOY-25MAY,2.4,2.4
7/15/25,KXCPIYOY-25JUN,2.7,2.6
8/12/25,KXCPIYOY-25JUL,2.7,2.8
