prediction_date,ticker_name,actual_release,survey_median,surprise,surprise_sign
1997-01-10,NFP TCH Index,262,201,61,Positive
1997-02-07,NFP TCH Index,271,231,40,Positive
1997-03-07,NFP TCH Index,339,231,108,Positive
1997-04-04,NFP TCH Index,175,202,-27,Negative
1997-05-02,NFP TCH Index,142,195,-53,Negative
1997-06-06,NFP TCH Index,138,225,-87,Negative
1997-07-03,NFP TCH Index,217,230,-13,Negative
1997-08-01,NFP TCH Index,316,70,246,Positive
1997-09-05,NFP TCH Index,49,64,-15,Negative
1997-10-03,NFP TCH Index,215,332,-117,Negative
1997-11-07,NFP TCH Index,284,206,78,Positive
1997-12-05,NFP TCH Index,404,216,188,Positive
1998-01-09,NFP TCH Index,370,208,162,Positive
1998-02-06,NFP TCH Index,358,238,120,Positive
1998-03-06,NFP TCH Index,310,249,61,Positive
1998-04-03,NFP TCH Index,-36,233,-269,Negative
1998-05-08,NFP TCH Index,262,264,-2,Negative
1998-06-05,NFP TCH Index,296,223,73,Positive
1998-07-02,NFP TCH Index,205,190,15,Positive
1998-08-07,NFP TCH Index,66,50,16,Positive
1998-09-04,NFP TCH Index,365,375,-10,Negative
1998-10-02,NFP TCH Index,69,200,-131,Negative
1998-11-05,NFP TCH Index,116,175,-59,Negative
1998-12-04,NFP TCH Index,267,160,107,Positive
1999-01-08,NFP TCH Index,378,200,178,Positive
1999-02-05,NFP TCH Index,245,140,105,Positive
1999-03-05,NFP TCH Index,275,245,30,Positive
1999-04-02,NFP TCH Index,46,150,-104,Negative
1999-05-07,NFP TCH Index,234,240,-6,Negative
1999-06-04,NFP TCH Index,11,209,-198,Negative
1999-07-02,NFP TCH Index,268,215,53,Positive
1999-08-06,NFP TCH Index,310,200,110,Positive
1999-09-03,NFP TCH Index,124,220,-96,Negative
1999-10-08,NFP TCH Index,-8,225,-233,Negative
1999-11-05,NFP TCH Index,310,303,7,Positive
1999-12-03,NFP TCH Index,234,200,34,Positive
2000-01-07,NFP TCH Index,315,245,70,Positive
2000-02-04,NFP TCH Index,387,260,127,Positive
2000-03-03,NFP TCH Index,43,213,-170,Negative
2000-04-07,NFP TCH Index,416,380,36,Positive
2000-05-05,NFP TCH Index,340,340,0,None
2000-06-02,NFP TCH Index,231,380,-149,Negative
2000-07-07,NFP TCH Index,11,250,-239,Negative
2000-08-04,NFP TCH Index,-108,73,-181,Negative
2000-09-01,NFP TCH Index,-105,-23,-82,Negative
2000-10-06,NFP TCH Index,252,230,22,Positive
2000-11-03,NFP TCH Index,137,175,-38,Negative
2000-12-08,NFP TCH Index,94,147,-53,Negative
2001-01-05,NFP TCH Index,105,111,-6,Negative
2001-02-02,NFP TCH Index,268,90,178,Positive
2001-03-09,NFP TCH Index,135,75,60,Positive
2001-04-06,NFP TCH Index,-86,60,-146,Negative
2001-05-04,NFP TCH Index,-223,15,-238,Negative
2001-06-01,NFP TCH Index,-19,-50,31,Positive
2001-07-06,NFP TCH Index,-114,-50,-64,Negative
2001-08-03,NFP TCH Index,-42,-50,8,Positive
2001-09-07,NFP TCH Index,-113,-45,-68,Negative
2001-10-05,NFP TCH Index,-199,-100,-99,Negative
2001-11-02,NFP TCH Index,-415,-300,-115,Negative
2001-12-07,NFP TCH Index,-331,-200,-131,Negative
2002-01-04,NFP TCH Index,-124,-155,31,Positive
2002-02-01,NFP TCH Index,-89,-50,-39,Negative
2002-03-08,NFP TCH Index,66,0,66,Positive
2002-04-05,NFP TCH Index,58,50,8,Positive
2002-05-03,NFP TCH Index,43,58,-15,Negative
2002-06-07,NFP TCH Index,41,68,-27,Negative
2002-07-05,NFP TCH Index,36,75,-39,Negative
2002-08-02,NFP TCH Index,6,60,-54,Negative
2002-09-06,NFP TCH Index,39,30,9,Positive
2002-10-04,NFP TCH Index,-43,6,-49,Negative
2002-10-18,CPI YOY Index,1.5,NA,NA,NA
2002-11-01,NFP TCH Index,-5,0,-5,Negative
2002-11-19,CPI YOY Index,2,NA,NA,NA
2002-12-06,NFP TCH Index,-40,36,-76,Negative
2002-12-17,CPI YOY Index,2.2,NA,NA,NA
2003-01-10,NFP TCH Index,-101,20,-121,Negative
2003-01-16,CPI YOY Index,2.4,NA,NA,NA
2003-02-07,NFP TCH Index,143,68,75,Positive
2003-02-21,CPI YOY Index,2.6,2.6,0,None
2003-03-07,NFP TCH Index,-308,10,-318,Negative
2003-03-21,CPI YOY Index,3,NA,NA,NA
2003-04-04,NFP TCH Index,-108,-35,-73,Negative
2003-04-16,CPI YOY Index,3,NA,NA,NA
2003-05-02,NFP TCH Index,-48,-60,12,Positive
2003-05-16,CPI YOY Index,2.2,NA,NA,NA
2003-06-06,NFP TCH Index,-17,-30,13,Positive
2003-06-17,CPI YOY Index,2.1,2.1,0,None
2003-07-03,NFP TCH Index,-30,0,-30,Negative
2003-07-16,CPI YOY Index,2.1,NA,NA,NA
2003-08-01,NFP TCH Index,-44,10,-54,Negative
2003-08-15,CPI YOY Index,2.1,2.1,0,None
2003-09-05,NFP TCH Index,-93,20,-113,Negative
2003-09-16,CPI YOY Index,2.2,NA,NA,NA
2003-10-03,NFP TCH Index,57,-25,82,Positive
2003-10-16,CPI YOY Index,2.3,NA,NA,NA
2003-11-07,NFP TCH Index,126,65,61,Positive
2003-11-18,CPI YOY Index,2,NA,NA,NA
2003-12-05,NFP TCH Index,57,150,-93,Negative
2003-12-16,CPI YOY Index,1.8,2.1,-0.30000000000000004,Negative
2004-01-09,NFP TCH Index,1,150,-149,Negative
2004-01-15,CPI YOY Index,1.9,1.8,0.09999999999999987,Positive
2004-02-06,NFP TCH Index,112,175,-63,Negative
2004-02-20,CPI YOY Index,1.9,1.6,0.2999999999999998,Positive
2004-03-05,NFP TCH Index,21,130,-109,Negative
2004-03-17,CPI YOY Index,1.7,1.6,0.09999999999999987,Positive
2004-04-02,NFP TCH Index,308,120,188,Positive
2004-04-14,CPI YOY Index,1.7,1.5,0.19999999999999996,Positive
2004-04-30,PCE DEFY Index,1.6,NA,NA,NA
2004-05-07,NFP TCH Index,288,170,118,Positive
2004-05-14,CPI YOY Index,2.3,2.4,-0.10000000000000009,Negative
2004-05-28,PCE DEFY Index,1.9,1.8,0.09999999999999987,Positive
2004-06-04,NFP TCH Index,248,225,23,Positive
2004-06-15,CPI YOY Index,3.1,2.9,0.20000000000000018,Positive
2004-06-28,PCE DEFY Index,2.5,2.2,0.2999999999999998,Positive
2004-07-02,NFP TCH Index,112,250,-138,Negative
2004-07-16,CPI YOY Index,3.3,3.1,0.19999999999999973,Positive
2004-08-03,PCE DEFY Index,2.5,2.6,-0.10000000000000009,Negative
2004-08-06,NFP TCH Index,32,240,-208,Negative
2004-08-17,CPI YOY Index,3,3.2,-0.20000000000000018,Negative
2004-08-30,PCE DEFY Index,2.4,2.4,0,None
2004-09-03,NFP TCH Index,144,150,-6,Negative
2004-09-16,CPI YOY Index,2.7,2.8,-0.09999999999999964,Negative
2004-09-30,PCE DEFY Index,2.1,2.2,-0.10000000000000009,Negative
2004-10-08,NFP TCH Index,96,148,-52,Negative
2004-10-19,CPI YOY Index,2.5,2.5,0,None
2004-11-01,PCE DEFY Index,2,2,0,None
2004-11-05,NFP TCH Index,337,175,162,Positive
2004-11-17,CPI YOY Index,3.2,3,0.20000000000000018,Positive
2004-12-01,PCE DEFY Index,2.4,2.4,0,None
2004-12-03,NFP TCH Index,112,200,-88,Negative
2004-12-17,CPI YOY Index,3.5,3.5,0,None
2004-12-23,PCE DEFY Index,2.6,2.5,0.10000000000000009,Positive
2005-01-07,NFP TCH Index,157,175,-18,Negative
2005-01-19,CPI YOY Index,3.3,3.4,-0.10000000000000009,Negative
2005-01-31,PCE DEFY Index,2.4,2.4,0,None
2005-02-04,NFP TCH Index,146,200,-54,Negative
2005-02-23,CPI YOY Index,3,3.2,-0.20000000000000018,Negative
2005-02-28,PCE DEFY Index,2.2,2.2,0,None
2005-03-04,NFP TCH Index,262,225,37,Positive
2005-03-23,CPI YOY Index,3,2.9,0.10000000000000009,Positive
2005-03-31,PCE DEFY Index,2.3,2.3,0,None
2005-04-01,NFP TCH Index,110,213,-103,Negative
2005-04-20,CPI YOY Index,3.1,3.1,0,None
2005-04-29,PCE DEFY Index,2.4,2.5,-0.10000000000000009,Negative
2005-05-06,NFP TCH Index,274,174,100,Positive
2005-05-18,CPI YOY Index,3.5,3.3,0.20000000000000018,Positive
2005-05-27,PCE DEFY Index,2.7,NA,NA,NA
2005-06-03,NFP TCH Index,78,175,-97,Negative
2005-06-15,CPI YOY Index,2.8,2.9,-0.10000000000000009,Negative
2005-06-30,PCE DEFY Index,2.2,2.3,-0.09999999999999964,Negative
2005-07-08,NFP TCH Index,146,200,-54,Negative
2005-07-14,CPI YOY Index,2.5,2.7,-0.20000000000000018,Negative
2005-08-02,PCE DEFY Index,2.2,2,0.20000000000000018,Positive
2005-08-05,NFP TCH Index,207,180,27,Positive
2005-08-16,CPI YOY Index,3.2,3,0.20000000000000018,Positive
2005-09-01,PCE DEFY Index,2.5,2.7,-0.20000000000000018,Negative
2005-09-02,NFP TCH Index,169,190,-21,Negative
2005-09-15,CPI YOY Index,3.6,3.7,-0.10000000000000009,Negative
2005-09-30,PCE DEFY Index,3,2.9,0.10000000000000009,Positive
2005-10-07,NFP TCH Index,-35,-150,115,Positive
2005-10-14,CPI YOY Index,4.7,4.3,0.40000000000000036,Positive
2005-10-31,PCE DEFY Index,3.8,NA,NA,NA
2005-11-04,NFP TCH Index,56,120,-64,Negative
2005-11-16,CPI YOY Index,4.3,4.1,0.20000000000000018,Positive
2005-12-01,PCE DEFY Index,3.3,3.3,0,None
2005-12-02,NFP TCH Index,215,210,5,Positive
2005-12-15,CPI YOY Index,3.5,3.6,-0.10000000000000009,Negative
2005-12-22,PCE DEFY Index,2.7,NA,NA,NA
2006-01-06,NFP TCH Index,108,200,-92,Negative
2006-01-18,CPI YOY Index,3.4,3.6,-0.20000000000000018,Negative
2006-01-30,PCE DEFY Index,2.8,NA,NA,NA
2006-02-03,NFP TCH Index,193,250,-57,Negative
2006-02-22,CPI YOY Index,4,3.8,0.20000000000000018,Positive
2006-03-01,PCE DEFY Index,3.1,3.1,0,None
2006-03-10,NFP TCH Index,243,210,33,Positive
2006-03-16,CPI YOY Index,3.6,3.7,-0.10000000000000009,Negative
2006-03-31,PCE DEFY Index,2.9,2.9,0,None
2006-04-07,NFP TCH Index,211,190,21,Positive
2006-04-19,CPI YOY Index,3.4,3.5,-0.10000000000000009,Negative
2006-05-01,PCE DEFY Index,2.9,2.9,0,None
2006-05-05,NFP TCH Index,138,200,-62,Negative
2006-05-17,CPI YOY Index,3.5,3.5,0,None
2006-05-26,PCE DEFY Index,2.9,2.9,0,None
2006-06-02,NFP TCH Index,75,170,-95,Negative
2006-06-14,CPI YOY Index,4.2,3.9,0.30000000000000027,Positive
2006-06-30,PCE DEFY Index,3.3,3.3,0,None
2006-07-07,NFP TCH Index,121,175,-54,Negative
2006-07-19,CPI YOY Index,4.3,4.3,0,None
2006-08-01,PCE DEFY Index,3.5,3.3,0.20000000000000018,Positive
2006-08-04,NFP TCH Index,113,141,-28,Negative
2006-08-16,CPI YOY Index,4.1,4.2,-0.10000000000000053,Negative
2006-08-31,PCE DEFY Index,3.4,3.5,-0.10000000000000009,Negative
2006-09-01,NFP TCH Index,128,125,3,Positive
2006-09-15,CPI YOY Index,3.8,3.8,0,None
2006-09-29,PCE DEFY Index,3.2,3.2,0,None
2006-10-06,NFP TCH Index,51,120,-69,Negative
2006-10-18,CPI YOY Index,2.1,2.3,-0.19999999999999973,Negative
