contract_preamble,datetime_6h_utc,datetime_6h_et,expiry_datetime,date,strike,yes_price,interval_volume,adjusted_yes_price,probability,swapped
CPICOREYOY-23SEP,2023-09-15T12:00:00Z,2023-09-15 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-15,2.4,0,NA,96,0,FALSE
CPICOREYOY-23SEP,2023-09-15T18:00:00Z,2023-09-15 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-15,2.4,0,NA,96,0,FALSE
CPICOREYOY-23SEP,2023-09-16T00:00:00Z,2023-09-15 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-16,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-16T06:00:00Z,2023-09-16 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-16,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-16T12:00:00Z,2023-09-16 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-16,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-16T18:00:00Z,2023-09-16 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-16,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-17T00:00:00Z,2023-09-16 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-17,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-17T06:00:00Z,2023-09-17 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-17,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-17T12:00:00Z,2023-09-17 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-17,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-17T18:00:00Z,2023-09-17 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-17,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-18T00:00:00Z,2023-09-17 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-18,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-18T06:00:00Z,2023-09-18 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-18,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-18T12:00:00Z,2023-09-18 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-18,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-18T18:00:00Z,2023-09-18 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-18,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-19T00:00:00Z,2023-09-18 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-19,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-19T06:00:00Z,2023-09-19 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-19,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-19T12:00:00Z,2023-09-19 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-19,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-19T18:00:00Z,2023-09-19 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-19,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-20T00:00:00Z,2023-09-19 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-20,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-20T06:00:00Z,2023-09-20 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-20,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-20T12:00:00Z,2023-09-20 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-20,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-20T18:00:00Z,2023-09-20 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-20,2.4,0,NA,97,0,FALSE
CPICOREYOY-23SEP,2023-09-21T00:00:00Z,2023-09-20 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-21,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-21T06:00:00Z,2023-09-21 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-21,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-21T12:00:00Z,2023-09-21 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-21,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-21T18:00:00Z,2023-09-21 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-21,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-22T00:00:00Z,2023-09-21 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-22,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-22T06:00:00Z,2023-09-22 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-22,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-22T12:00:00Z,2023-09-22 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-22,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-22T18:00:00Z,2023-09-22 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-22,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T00:00:00Z,2023-09-22 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T06:00:00Z,2023-09-23 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T12:00:00Z,2023-09-23 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-23T18:00:00Z,2023-09-23 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-23,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T00:00:00Z,2023-09-23 20:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T06:00:00Z,2023-09-24 02:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T12:00:00Z,2023-09-24 08:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.4,0,NA,99,0,FALSE
CPICOREYOY-23SEP,2023-09-24T18:00:00Z,2023-09-24 14:00:00 EDT,2023-10-12T12:00:00Z,2023-09-24,2.4,0,NA,99,0,FALSE
